"StateName","Year","ChildPopulation","ScreenInCount","ScreenInPercent","ScreenOutCount","ScreenOutPercent","ReferralCount","refProp","varProp","refRate","varRate"
"mississippi",2010,767742,19976,69.7,8690,30.3,28666,0.0373380640892383,4.6817724000128e-08,37.3380640892383,0.046817724000128
"mississippi",2011,750239,19774,75.2,6536,24.8,26310,0.0350688247345179,4.51042964525406e-08,35.0688247345179,0.0451042964525406
"missouri",2007,1424830,54635,53.3,47944,46.7,102579,0.0719938518981212,4.68903217836462e-08,71.9938518981212,0.0468903217836462
"missouri",2008,1421469,49129,49.8,49557,50.2,98686,0.0694253620726164,4.54497995902144e-08,69.4253620726164,0.0454497995902144
"missouri",2009,1431338,49755,51,47746,49,97501,0.0681187811683893,4.43491424251451e-08,68.1187811683893,0.0443491424251451
"missouri",2010,1431338,50969,50.5,50045,49.5,101014,0.07057312808016,4.58260464496445e-08,70.57312808016,0.0458260464496445
"missouri",2011,1412121,58782,58.3,41979,41.7,100761,0.0713543669416431,4.69243933487289e-08,71.3543669416431,0.0469243933487289
"montana",2007,219498,8699,67.7,4153,32.3,12852,0.0585517863488506,2.51134291265566e-07,58.5517863488506,0.251134291265566
"montana",2008,220358,7988,65.3,4253,34.7,12241,0.0555505132557021,2.38088264246046e-07,55.5505132557021,0.238088264246046
"montana",2009,219828,8148,58.1,5888,41.9,14036,0.0638499190276034,2.71908523335389e-07,63.8499190276034,0.271908523335389
"montana",2010,219828,7419,57.4,5500,42.6,12919,0.0587686736903397,2.51628166944239e-07,58.7686736903397,0.251628166944239
"montana",2011,222354,7536,62.6,4506,37.4,12042,0.0541568849672144,2.30371015488196e-07,54.1568849672144,0.230371015488196
"nebraska",2007,446145,11290,49,11760,51,23050,0.051664817492071,1.09819821191725e-07,51.664817492071,0.109819821191725
"nebraska",2008,446995,12472,53.8,10721,46.2,23193,0.0518864864260227,1.100555463761e-07,51.8864864260227,0.1100555463761
"nebraska",2009,451641,13532,54.6,11255,45.4,24787,0.054882085550249,1.14847948339287e-07,54.882085550249,0.114847948339287
"nebraska",2010,451641,13138,48.8,13771,51.2,26909,0.059580507526996,1.24060195265314e-07,59.580507526996,0.124060195265314
"nebraska",2011,460065,13489,46.3,15662,53.7,29151,0.0633627856933259,1.2899903944553e-07,63.3627856933259,0.12899903944553
"nevada",2007,660002,16342,72.7,6150,27.3,22492,0.0340786846100466,4.98745880547265e-08,34.0786846100466,0.0498745880547265
"nevada",2008,667801,14332,70.5,5989,29.5,20321,0.0304297238249119,4.41804605456588e-08,30.4297238249119,0.0441804605456588
