"CountyID","CountyName","ReferralYear","Count"
40,"Le Flore",1987,1
40,"Le Flore",1988,12
40,"Le Flore",1989,4
40,"Le Flore",1990,2
40,"Le Flore",1991,4
40,"Le Flore",1992,1
40,"Le Flore",1993,4
40,"Le Flore",1994,26
40,"Le Flore",1995,18
40,"Le Flore",1996,32
40,"Le Flore",1997,47
40,"Le Flore",1998,39
40,"Le Flore",1999,63
40,"Le Flore",2000,28
40,"Le Flore",2001,83
40,"Le Flore",2002,94
40,"Le Flore",2003,90
40,"Le Flore",2004,113
40,"Le Flore",2005,127
40,"Le Flore",2006,301
40,"Le Flore",2007,445
40,"Le Flore",2008,353
40,"Le Flore",2009,237
40,"Le Flore",2010,330
40,"Le Flore",2011,205
41,"Lincoln",1994,1
41,"Lincoln",1995,3
41,"Lincoln",1996,12
41,"Lincoln",1997,2
41,"Lincoln",1998,15
41,"Lincoln",1999,30
41,"Lincoln",2000,48
41,"Lincoln",2001,36
41,"Lincoln",2002,55
41,"Lincoln",2003,78
41,"Lincoln",2004,130
41,"Lincoln",2005,167
41,"Lincoln",2006,194
41,"Lincoln",2007,245
41,"Lincoln",2008,184
41,"Lincoln",2009,139
41,"Lincoln",2010,110
41,"Lincoln",2011,71
42,"Logan",1978,2
42,"Logan",1990,1
42,"Logan",1991,1
42,"Logan",1994,6
42,"Logan",1995,4
42,"Logan",1996,8
42,"Logan",1997,10
42,"Logan",1998,31
42,"Logan",1999,18
42,"Logan",2000,20
42,"Logan",2001,54
42,"Logan",2002,96
42,"Logan",2003,52
42,"Logan",2004,53
42,"Logan",2005,123
42,"Logan",2006,95
42,"Logan",2007,137
42,"Logan",2008,153
42,"Logan",2009,135
42,"Logan",2010,127
42,"Logan",2011,87
43,"Love",1996,1
43,"Love",1998,8
43,"Love",1999,1
43,"Love",2000,1
43,"Love",2001,1
43,"Love",2002,2
43,"Love",2003,14
43,"Love",2004,23
43,"Love",2005,15
43,"Love",2006,18
43,"Love",2007,51
43,"Love",2008,36
43,"Love",2009,34
43,"Love",2010,54
43,"Love",2011,37
44,"McClain",1990,1
44,"McClain",1993,2
44,"McClain",1994,1
44,"McClain",1995,2
44,"McClain",1996,3
44,"McClain",1997,14
44,"McClain",1998,6
44,"McClain",1999,13
44,"McClain",2000,9
44,"McClain",2001,28
44,"McClain",2002,58
44,"McClain",2003,116
44,"McClain",2004,129
44,"McClain",2005,95
44,"McClain",2006,108
44,"McClain",2007,103
44,"McClain",2008,127
44,"McClain",2009,81
44,"McClain",2010,77
44,"McClain",2011,46
45,"McCurtain",1993,3
45,"McCurtain",1994,3
45,"McCurtain",1995,4
45,"McCurtain",1996,10
45,"McCurtain",1997,17
45,"McCurtain",1998,32
45,"McCurtain",1999,31
45,"McCurtain",2000,44
45,"McCurtain",2001,56
45,"McCurtain",2002,44
45,"McCurtain",2003,97
45,"McCurtain",2004,149
45,"McCurtain",2005,144
45,"McCurtain",2006,355
45,"McCurtain",2007,237
45,"McCurtain",2008,180
45,"McCurtain",2009,211
45,"McCurtain",2010,128
45,"McCurtain",2011,130
46,"McIntosh",1990,1
46,"McIntosh",1992,3
46,"McIntosh",1993,2
46,"McIntosh",1994,7
46,"McIntosh",1995,2
46,"McIntosh",1996,6
46,"McIntosh",1997,41
46,"McIntosh",1998,22
46,"McIntosh",1999,18
46,"McIntosh",2000,29
46,"McIntosh",2001,41
46,"McIntosh",2002,78
46,"McIntosh",2003,72
46,"McIntosh",2004,152
46,"McIntosh",2005,139
46,"McIntosh",2006,155
46,"McIntosh",2007,275
46,"McIntosh",2008,243
46,"McIntosh",2009,214
46,"McIntosh",2010,174
46,"McIntosh",2011,140
47,"Major",1985,3
47,"Major",1986,5
47,"Major",1987,3
47,"Major",1988,3
47,"Major",1989,1
47,"Major",1990,1
47,"Major",1991,2
47,"Major",1992,5
47,"Major",1993,10
47,"Major",1994,5
47,"Major",1998,9
47,"Major",1999,12
47,"Major",2000,3
47,"Major",2001,17
47,"Major",2002,17
47,"Major",2003,9
47,"Major",2004,28
47,"Major",2005,63
47,"Major",2006,52
47,"Major",2007,86
47,"Major",2008,74
47,"Major",2009,55
47,"Major",2010,38
47,"Major",2011,45
48,"Marshall",1974,1
48,"Marshall",1994,2
48,"Marshall",1997,3
48,"Marshall",1998,7
48,"Marshall",1999,12
48,"Marshall",2000,10
48,"Marshall",2001,10
48,"Marshall",2002,27
48,"Marshall",2003,26
48,"Marshall",2004,64
48,"Marshall",2005,46
48,"Marshall",2006,93
48,"Marshall",2007,131
48,"Marshall",2008,143
48,"Marshall",2009,125
48,"Marshall",2010,49
48,"Marshall",2011,30
49,"Mayes",1989,1
49,"Mayes",1991,9
49,"Mayes",1992,6
49,"Mayes",1993,9
49,"Mayes",1994,3
49,"Mayes",1995,11
49,"Mayes",1996,23
49,"Mayes",1997,46
49,"Mayes",1998,5
49,"Mayes",1999,23
49,"Mayes",2000,35
49,"Mayes",2001,52
49,"Mayes",2002,41
49,"Mayes",2003,63
49,"Mayes",2004,191
49,"Mayes",2005,124
49,"Mayes",2006,257
49,"Mayes",2007,229
49,"Mayes",2008,240
49,"Mayes",2009,278
49,"Mayes",2010,207
49,"Mayes",2011,129
50,"Murray",1995,1
50,"Murray",1997,1
50,"Murray",1998,2
50,"Murray",1999,7
50,"Murray",2000,2
50,"Murray",2001,11
50,"Murray",2002,2
50,"Murray",2003,2
50,"Murray",2004,13
50,"Murray",2005,17
50,"Murray",2006,6
50,"Murray",2007,11
50,"Murray",2008,3
50,"Murray",2009,40
50,"Murray",2010,48
50,"Murray",2011,9
51,"Muskogee",1978,3
51,"Muskogee",1981,4
51,"Muskogee",1983,4
51,"Muskogee",1984,2
51,"Muskogee",1987,1
51,"Muskogee",1988,8
51,"Muskogee",1991,1
51,"Muskogee",1993,4
51,"Muskogee",1994,1
51,"Muskogee",1995,11
51,"Muskogee",1996,35
51,"Muskogee",1997,19
51,"Muskogee",1998,58
51,"Muskogee",1999,67
51,"Muskogee",2000,58
51,"Muskogee",2001,75
51,"Muskogee",2002,114
51,"Muskogee",2003,108
51,"Muskogee",2004,164
51,"Muskogee",2005,152
51,"Muskogee",2006,292
51,"Muskogee",2007,435
51,"Muskogee",2008,522
51,"Muskogee",2009,317
51,"Muskogee",2010,356
51,"Muskogee",2011,321
52,"Noble",1994,3
52,"Noble",1997,14
52,"Noble",1998,9
52,"Noble",1999,4
52,"Noble",2000,21
52,"Noble",2001,16
52,"Noble",2002,15
52,"Noble",2003,16
52,"Noble",2004,15
52,"Noble",2005,43
52,"Noble",2006,53
52,"Noble",2007,63
52,"Noble",2008,35
52,"Noble",2009,96
52,"Noble",2010,44
52,"Noble",2011,45
53,"Nowata",1992,1
53,"Nowata",1993,2
53,"Nowata",1997,3
53,"Nowata",1999,3
53,"Nowata",2000,6
53,"Nowata",2001,2
53,"Nowata",2002,18
53,"Nowata",2003,28
53,"Nowata",2004,53
53,"Nowata",2005,45
53,"Nowata",2006,110
53,"Nowata",2007,135
53,"Nowata",2008,153
53,"Nowata",2009,83
53,"Nowata",2010,83
53,"Nowata",2011,59
54,"Okfuskee",1999,2
54,"Okfuskee",2000,8
54,"Okfuskee",2001,16
54,"Okfuskee",2002,13
54,"Okfuskee",2003,8
54,"Okfuskee",2004,12
54,"Okfuskee",2005,33
54,"Okfuskee",2006,61
54,"Okfuskee",2007,74
54,"Okfuskee",2008,50
54,"Okfuskee",2009,34
54,"Okfuskee",2010,43
54,"Okfuskee",2011,43
55,"Oklahoma",1976,1
55,"Oklahoma",1977,3
55,"Oklahoma",1979,1
55,"Oklahoma",1980,1
55,"Oklahoma",1981,2
55,"Oklahoma",1982,4
55,"Oklahoma",1983,11
55,"Oklahoma",1985,5
55,"Oklahoma",1986,11
55,"Oklahoma",1987,9
55,"Oklahoma",1988,3
55,"Oklahoma",1989,10
55,"Oklahoma",1990,15
55,"Oklahoma",1991,27
55,"Oklahoma",1992,58
55,"Oklahoma",1993,64
55,"Oklahoma",1994,61
55,"Oklahoma",1995,109
55,"Oklahoma",1996,211
55,"Oklahoma",1997,404
55,"Oklahoma",1998,449
55,"Oklahoma",1999,573
55,"Oklahoma",2000,710
55,"Oklahoma",2001,1051
55,"Oklahoma",2002,1324
55,"Oklahoma",2003,1490
55,"Oklahoma",2004,2083
55,"Oklahoma",2005,3039
55,"Oklahoma",2006,4060
55,"Oklahoma",2007,5422
55,"Oklahoma",2008,5185
55,"Oklahoma",2009,3856
55,"Oklahoma",2010,3400
55,"Oklahoma",2011,2336
56,"Okmulgee",1985,1
