"CountyName","Year","PopTotal"
"Stephens","2002",42460
"Texas","2002",20014
"Tillman","2002",8810
"Tulsa","2002",570207
"Wagoner","2002",60178
"Washington","2002",48988
"Washita","2002",11263
"Woods","2002",8837
"Woodward","2002",18382
"Adair","2001",21066
"Alfalfa","2001",5926
"Atoka","2001",13896
"Beaver","2001",5641
"Beckham","2001",19778
"Blaine","2001",12022
"Bryan","2001",36462
"Caddo","2001",29874
"Canadian","2001",89521
"Carter","2001",45595
"Cherokee","2001",43032
"Choctaw","2001",15143
"Cimarron","2001",3053
"Cleveland","2001",212541
"Coal","2001",5998
"Comanche","2001",112236
"Cotton","2001",6430
"Craig","2001",14768
"Creek","2001",67903
"Custer","2001",25696
"Delaware","2001",37643
"Dewey","2001",4597
"Ellis","2001",3896
"Garfield","2001",57181
"Garvin","2001",27021
"Grady","2001",45844
"Grant","2001",5019
"Greer","2001",5837
"Harmon","2001",3155
"Harper","2001",3421
"Haskell","2001",11755
"Hughes","2001",13876
"Jackson","2001",27890
"Jefferson","2001",6646
"Johnston","2001",10437
"Kay","2001",47437
"Kingfisher","2001",13843
"Kiowa","2001",10022
"Latimer","2001",10574
"Le Flore","2001",48033
"Lincoln","2001",32084
"Logan","2001",34517
"Love","2001",8729
"McClain","2001",27787
"McCurtain","2001",34030
"McIntosh","2001",19450
"Major","2001",7529
"Marshall","2001",13312
"Mayes","2001",38449
"Murray","2001",12655
"Muskogee","2001",69506
"Noble","2001",11413
"Nowata","2001",10594
"Okfuskee","2001",11719
"Oklahoma","2001",665401
"Okmulgee","2001",39580
"Osage","2001",44938
"Ottawa","2001",33039
"Pawnee","2001",16765
"Payne","2001",71437
"Pittsburg","2001",43349
"Pontotoc","2001",34917
"Pottawatomie","2001",66271
"Pushmataha","2001",11653
"Roger Mills","2001",3310
"Rogers","2001",72974
"Seminole","2001",24497
"Sequoyah","2001",39228
"Stephens","2001",42623
"Texas","2001",20113
"Tillman","2001",9190
"Tulsa","2001",566789
"Wagoner","2001",58758
"Washington","2001",48875
"Washita","2001",11377
"Woods","2001",8846
"Woodward","2001",18317
"Adair","2000",21050
"Alfalfa","2000",6080
"Atoka","2000",13840
"Beaver","2000",5792
"Beckham","2000",19744
"Blaine","2000",11957
"Bryan","2000",36597
"Caddo","2000",30098
"Canadian","2000",88144
"Carter","2000",45591
"Cherokee","2000",42674
"Choctaw","2000",15328
"Cimarron","2000",3149
"Cleveland","2000",208403
"Coal","2000",6004
"Comanche","2000",114675
"Cotton","2000",6629
"Craig","2000",14929
"Creek","2000",67566
"Custer","2000",26053
"Delaware","2000",37195
"Dewey","2000",4708
"Ellis","2000",4043
"Garfield","2000",57690
"Garvin","2000",27257
"Grady","2000",45570
"Grant","2000",5124
"Greer","2000",6035
"Harmon","2000",3273
"Harper","2000",3547
"Haskell","2000",11827
"Hughes","2000",14123
"Jackson","2000",28254
"Jefferson","2000",6769
"Johnston","2000",10516
"Kay","2000",47944
"Kingfisher","2000",13884
"Kiowa","2000",10198
"Latimer","2000",10652
"Le Flore","2000",48128
"Lincoln","2000",32127
"Logan","2000",33942
"Love","2000",8827
"McClain","2000",27847
"McCurtain","2000",34389
"McIntosh","2000",19478
"Major","2000",7529
"Marshall","2000",13150
"Mayes","2000",38430
"Murray","2000",12589
"Muskogee","2000",69412
"Noble","2000",11378
"Nowata","2000",10594
"Okfuskee","2000",11824
"Oklahoma","2000",661841
"Okmulgee","2000",39636
"Osage","2000",44553
"Ottawa","2000",33238
"Pawnee","2000",16687
"Payne","2000",68259
"Pittsburg","2000",43948
"Pontotoc","2000",35162
"Pottawatomie","2000",65675
"Pushmataha","2000",11654
"Roger Mills","2000",3425
"Rogers","2000",71370
"Seminole","2000",24870
"Sequoyah","2000",39047
"Stephens","2000",43072
"Texas","2000",20203
"Tillman","2000",9244
"Tulsa","2000",563854
"Wagoner","2000",57703
"Washington","2000",48977
"Washita","2000",11500
"Woods","2000",9042
"Woodward","2000",18427
