"CountyID","CountyName","Abuse","Neglect","SexualAbuse","Count"
62,"Pontotoc",1,0,0,54
62,"Pontotoc",1,1,0,53
62,"Pontotoc",1,1,1,1
63,"Pottawatomie",0,0,0,29
63,"Pottawatomie",0,0,1,44
63,"Pottawatomie",0,1,0,2043
63,"Pottawatomie",0,1,1,41
63,"Pottawatomie",1,0,0,172
63,"Pottawatomie",1,0,1,8
63,"Pottawatomie",1,1,0,247
63,"Pottawatomie",1,1,1,2
64,"Pushmataha",0,0,0,10
64,"Pushmataha",0,0,1,25
64,"Pushmataha",0,1,0,1040
64,"Pushmataha",0,1,1,13
64,"Pushmataha",1,0,0,71
64,"Pushmataha",1,0,1,1
64,"Pushmataha",1,1,0,92
65,"Roger Mills",0,0,0,4
65,"Roger Mills",0,0,1,3
65,"Roger Mills",0,1,0,79
65,"Roger Mills",0,1,1,1
65,"Roger Mills",1,0,0,6
65,"Roger Mills",1,1,0,8
66,"Rogers",0,0,0,23
66,"Rogers",0,0,1,73
66,"Rogers",0,1,0,1878
66,"Rogers",0,1,1,21
66,"Rogers",1,0,0,266
66,"Rogers",1,0,1,5
66,"Rogers",1,1,0,226
66,"Rogers",1,1,1,2
67,"Seminole",0,0,0,19
67,"Seminole",0,0,1,19
67,"Seminole",0,1,0,855
67,"Seminole",0,1,1,12
67,"Seminole",1,0,0,87
67,"Seminole",1,1,0,100
67,"Seminole",1,1,1,6
68,"Sequoyah",0,0,0,16
68,"Sequoyah",0,0,1,41
68,"Sequoyah",0,1,0,1507
68,"Sequoyah",0,1,1,11
68,"Sequoyah",1,0,0,168
68,"Sequoyah",1,0,1,3
68,"Sequoyah",1,1,0,128
68,"Sequoyah",1,1,1,5
69,"Stephens",0,0,0,10
69,"Stephens",0,0,1,34
69,"Stephens",0,1,0,928
69,"Stephens",0,1,1,5
69,"Stephens",1,0,0,53
69,"Stephens",1,0,1,2
69,"Stephens",1,1,0,71
69,"Stephens",1,1,1,4
70,"Texas",0,0,0,9
70,"Texas",0,0,1,5
70,"Texas",0,1,0,153
70,"Texas",0,1,1,3
70,"Texas",1,0,0,39
70,"Texas",1,0,1,2
70,"Texas",1,1,0,42
71,"Tillman",0,0,0,2
71,"Tillman",0,0,1,4
71,"Tillman",0,1,0,220
71,"Tillman",0,1,1,1
71,"Tillman",1,0,0,6
71,"Tillman",1,1,0,34
72,"Tulsa",0,0,0,616
72,"Tulsa",0,0,1,384
72,"Tulsa",0,1,0,10793
72,"Tulsa",0,1,1,173
72,"Tulsa",1,0,0,1418
72,"Tulsa",1,0,1,32
72,"Tulsa",1,1,0,1153
72,"Tulsa",1,1,1,20
73,"Wagoner",0,0,0,20
73,"Wagoner",0,0,1,26
73,"Wagoner",0,1,0,978
73,"Wagoner",0,1,1,12
73,"Wagoner",1,0,0,97
73,"Wagoner",1,0,1,3
73,"Wagoner",1,1,0,87
73,"Wagoner",1,1,1,8
74,"Washington",0,0,0,11
